hidden_sizes,learning_rate,dropout,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
"[128, 64, 128]",0.0005,0.4,256,100152.06735565899,0.0015206735565898998,208,0.5,-0.007229318722973166,0.21034811368290315,35.8
"[256, 128, 64, 128, 256]",0.0005,0.3,128,100136.23316107187,0.0013623316107186838,211,0.47393364928909953,-0.006583111737361258,0.20694341294361107,50.8
"[128, 64, 128]",0.0001,0.2,64,100156.77220136429,0.0015677220136429242,221,0.5203619909502263,-0.0077745381869424035,0.20164824918809526,114.6
"[64, 32, 64]",0.001,0.3,128,99824.55952504545,-0.0017544047495455016,208,0.4855769230769231,-0.008976530632083923,0.19544352060415265,47.5
"[256, 128, 64, 128, 256]",0.0001,0.3,64,99879.98523250321,-0.001200147674967884,169,0.47337278106508873,-0.006162198887665227,0.19475964616627356,126.1
"[256, 128, 256]",0.0005,0.3,256,99798.21563898776,-0.0020178436101223633,222,0.4864864864864865,-0.010602788988425038,0.1903125311958225,22.9
"[64, 32, 64]",0.0005,0.2,256,100111.25858291483,0.0011125858291483018,206,0.46116504854368934,-0.005887224949952308,0.18898306733757725,25.2
"[128, 64, 32, 64, 128]",0.001,0.2,128,100144.97166076498,0.0014497166076497523,200,0.435,-0.008010993954310819,0.18096588462279906,47.6
"[128, 64, 128]",0.001,0.3,64,100179.82770703312,0.0017982770703312417,220,0.5045454545454545,-0.01031279009717756,0.1743734773408605,60.6
"[256, 128, 256]",0.0001,0.4,64,100125.35898518849,0.001253589851884899,198,0.47474747474747475,-0.007711107841488429,0.16256935808109851,100.9
"[64, 32, 64]",0.0005,0.2,64,100108.10856050001,0.0010810856050001167,205,0.5073170731707317,-0.006656853923163952,0.16240188195181018,72.7
"[256, 128, 256]",0.0005,0.3,64,99823.54427696206,-0.0017645572303794325,232,0.4525862068965517,-0.010950287443473039,0.1611425489502747,55.0
"[256, 128, 64, 128, 256]",0.001,0.3,256,99835.63002903055,-0.0016436997096944833,201,0.4925373134328358,-0.012713039162642104,0.1292924287155959,30.6
"[64, 32, 64]",0.001,0.3,64,99888.26626190788,-0.0011173373809212352,205,0.4926829268292683,-0.008736014908565681,0.1279001229525929,72.7
"[128, 64, 128]",0.001,0.2,64,99875.48917261587,-0.0012451082738413242,229,0.4497816593886463,-0.010209370031036391,0.12195740482088575,59.8
"[128, 64, 128]",0.001,0.4,256,100087.96644018764,0.0008796644018763618,203,0.5024630541871922,-0.007812988468246851,0.11259000387002348,28.6
"[256, 128, 256]",0.0005,0.4,64,100091.2822736332,0.0009128227363320183,205,0.4634146341463415,-0.008450991251220064,0.10801368847710437,59.7
"[128, 64, 128]",0.0001,0.2,256,99888.71826553569,-0.0011128173446431173,242,0.48760330578512395,-0.01035132974018338,0.10750477209929969,43.6
"[256, 128, 64, 128, 256]",0.0005,0.4,64,99949.2242758438,-0.0005077572415620671,213,0.49295774647887325,-0.004811549384580727,0.10552884340941093,94.6
"[256, 128, 256]",0.001,0.2,256,100178.64222528809,0.001786422252880875,220,0.5045454545454545,-0.016996395600359482,0.1051059468657632,21.6
"[64, 32, 64]",0.0005,0.4,128,99947.98350643931,-0.0005201649356068811,181,0.5138121546961326,-0.0054116612396795105,0.09611927143423454,50.9
"[128, 64, 128]",0.0001,0.3,256,100072.40773445659,0.0007240773445658851,233,0.49356223175965663,-0.008010770014487023,0.0903879830848261,44.0
"[256, 128, 64, 128, 256]",0.0001,0.2,128,99931.90460981002,-0.0006809539018997748,213,0.48826291079812206,-0.008739460336179672,0.0779171568615922,62.7
"[64, 32, 64]",0.001,0.4,128,99938.68653291649,-0.0006131346708351338,190,0.4789473684210526,-0.007910827252814334,0.07750575903638987,49.7
"[256, 128, 64, 128, 256]",0.0001,0.3,128,99947.88063626348,-0.0005211936373652133,180,0.4777777777777778,-0.0068413520091581415,0.07618284173472145,76.8
"[128, 64, 32, 64, 128]",0.0001,0.2,128,100024.46895665953,0.0002446895665953343,178,0.5112359550561798,-0.004680530248676207,0.052278172257200946,76.6
"[64, 32, 64]",0.0005,0.2,128,99980.2593224566,-0.0001974067754340649,210,0.4714285714285714,-0.006543564326426998,0.0301680805118417,38.7
"[256, 128, 256]",0.0005,0.4,128,99978.4011657212,-0.00021598834278804133,206,0.48058252427184467,-0.00971479441371137,0.02223292985831974,40.9
"[256, 128, 256]",0.001,0.4,256,100014.02331419247,0.00014023314192469115,225,0.4577777777777778,-0.00945442765422777,0.014832536357923538,24.0
"[128, 64, 32, 64, 128]",0.0001,0.2,256,99992.14758971632,-7.85241028368182e-05,195,0.5076923076923077,-0.005515210535146142,0.014237734414020419,74.3
"[64, 32, 64]",0.0001,0.4,128,99994.02584225414,-5.9741577458626126e-05,194,0.5154639175257731,-0.004886941354807606,0.012224737953905341,72.0
"[128, 64, 128]",0.0005,0.2,256,100003.84885165445,3.8488516544457525e-05,231,0.5108225108225108,-0.009401811502693369,0.004093734120645962,30.1
"[128, 64, 32, 64, 128]",0.001,0.2,64,99997.72169486359,-2.278305136409472e-05,221,0.5203619909502263,-0.009215220343310238,0.0024723284430886137,79.0
