hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,val_loss,val_acc,time_s
128,3,0.0005,0.3,40,256,0.9897086024284363,0.4407894736842105,1.8
32,1,0.001,0.4,40,128,0.989968478679657,0.40131578947368424,2.0
32,1,0.0001,0.3,20,128,0.9901499450206757,0.4144736842105263,7.5
64,1,0.0005,0.2,20,128,0.9904007613658905,0.3618421052631579,3.1
128,1,0.0005,0.3,40,128,0.9904905259609222,0.3815789473684211,1.9
128,1,0.001,0.3,20,128,0.99049511551857,0.3684210526315789,1.6
64,2,0.0005,0.3,20,256,0.990501344203949,0.3881578947368421,1.9
32,1,0.001,0.2,40,128,0.9907000064849854,0.39473684210526316,1.8
128,2,0.001,0.2,20,128,0.9908223748207092,0.42105263157894735,1.7
128,3,0.001,0.4,20,256,0.9908844828605652,0.3881578947368421,1.2
64,2,0.001,0.4,20,256,0.9910067915916443,0.40131578947368424,1.4
32,1,0.0005,0.2,40,128,0.9911198616027832,0.40131578947368424,2.5
128,2,0.001,0.4,40,128,0.9914452135562897,0.4276315789473684,1.7
64,1,0.001,0.4,20,128,0.9914896786212921,0.3355263157894737,1.9
32,1,0.001,0.3,40,128,0.9918393194675446,0.3815789473684211,1.8
64,3,0.001,0.2,20,256,0.9921241998672485,0.4605263157894737,1.4
32,3,0.0005,0.3,20,128,0.992394208908081,0.375,3.0
128,2,0.0005,0.2,20,128,0.992401123046875,0.4276315789473684,1.9
128,1,0.0001,0.4,60,256,0.9926956295967102,0.4605263157894737,4.7
64,2,0.001,0.3,60,256,0.9927797913551331,0.40789473684210525,1.3
32,3,0.001,0.2,40,128,0.9930133819580078,0.4144736842105263,2.7
64,2,0.0005,0.4,20,256,0.9931704998016357,0.39473684210526316,2.0
64,2,0.0001,0.2,20,128,0.9931995570659637,0.34210526315789475,8.2
64,2,0.001,0.4,60,256,0.9933947920799255,0.3684210526315789,1.2
32,1,0.0005,0.3,40,128,0.9934662878513336,0.3881578947368421,2.5
32,3,0.0005,0.4,40,128,0.9934733808040619,0.3618421052631579,3.2
128,3,0.0005,0.3,20,128,0.9936383962631226,0.34210526315789475,2.0
128,3,0.001,0.3,40,128,0.9938080310821533,0.3815789473684211,1.8
128,1,0.0001,0.3,60,256,0.9938603639602661,0.45394736842105265,4.5
64,1,0.0005,0.4,20,128,0.9939218461513519,0.35526315789473684,2.7
64,1,0.0005,0.2,60,256,0.9939437508583069,0.3815789473684211,2.0
128,1,0.001,0.4,40,256,0.9942200183868408,0.4144736842105263,1.6
128,3,0.001,0.2,20,128,0.9942813515663147,0.42105263157894735,1.8
64,2,0.001,0.2,40,128,0.9943561553955078,0.3815789473684211,1.9
128,2,0.0005,0.3,20,128,0.9947785437107086,0.3815789473684211,1.2
32,1,0.0001,0.4,20,128,0.9947803914546967,0.40789473684210525,7.5
64,2,0.0005,0.2,20,128,0.9948050379753113,0.375,2.1
32,3,0.001,0.4,20,128,0.9949302673339844,0.3881578947368421,2.2
64,1,0.0005,0.3,60,256,0.994948148727417,0.35526315789473684,2.0
128,2,0.0005,0.4,20,128,0.9953338205814362,0.3684210526315789,1.2
64,2,0.001,0.2,20,256,0.9953916668891907,0.4342105263157895,1.5
128,2,0.001,0.4,60,256,0.9954807162284851,0.40131578947368424,1.2
64,1,0.0005,0.4,60,256,0.9955867528915405,0.375,1.9
128,1,0.0001,0.2,60,256,0.995686411857605,0.45394736842105265,4.3
